Pavadinimas,Autorius,Metai,Puslapiai,Kaina,Akcijinė kaina,Perskaitytos kaina,Leidėjas,Formatas,Kalba,Įvertinimų skaičius,Žvaigždučių skaičius,Aprašymas
Auksaplaukė ir trys lokiai. Skaitymas skiemenimis,Karen Hunt,2015,28,0,0,2.09,Naujoji Rosma,"28 x 21 cm, minkšti viršeliai",Lietuvių,0,0,
Aukščiausias namas gatvėje,Karen Hunt,2023,24,3.59,2.69,0,Vaiga,"25 x 25 x 0,3 cm, minkšti viršeliai",Lietuvių,0,0,
Auksinė Garbana ir trys lokiai. Mažojo skaitytojo klasika,Karen Hunt,2023,26,7.59,6.07,0,Vaiga,"17,5 x 22,5 x 0,8 cm, kieti viršeliai",Lietuvių,0,0,
Auksinė šiaudų šviesa,Leonardas Gutauskas,1990,54,0,0,3.39,Vyturys,"20 x 25,5 x 0,5 cm, minkšti viršeliai",Lietuvių,0,4,
Auksinis narvelis (2020),Anna Castagnoli,2020,48,14.45,13.01,14.45,700 eilučių,"26 x 34 x 1,2 cm, kieti viršeliai",Lietuvių,4,5,
Aukso noragėlis,Vilius Baltrėnas,1992,23,0,0,0,700 eilučių,"29 x 21 x 0,2 cm, minkšti viršeliai",Lietuvių,1,5,
Aukso obelėlė,Vilius Baltrėnas,2011,12,0,0,0,Alma littera,"22,5 x 29 cm, minkšti viršeliai",Lietuvių,0,0,
Šunyčiai patruliai. Aukso grynuolis,Vilius Baltrėnas,2024,72,10.99,9.89,0,Egmont Lietuva,"22,5 x 22,7 x 1 cm, kieti viršeliai",Lietuvių,0,0,
Aukštai ar žemai,Rimas Valeikis,2015,24,0,0,2.79,Tikra knyga,"20 x 20 cm, minkšti viršeliai",Lietuvių,1,5,
Aukštyn kojom puodas verda,Edvardas Vaitkus,2001,24,0,0,0,Presvika,"21,8 x 28,8 cm, minkšti viršeliai",Lietuvių,2,5,
Austėja ir laikas,Ligita Valonytė,2024,32,13.79,12.41,0,Gelmės,"21,9 x 21,9 x 0,5 cm, minkšti viršeliai",Lietuvių,0,0,
Auto. Sulankstoma knygelė,Ligita Valonytė,2014,12,0,0,0,Ramduva,"16 x 9 cm, kieti viršeliai",Lietuvių,1,5,
Automobiliai (2018),Kenny Ross,2018,8,0,0,0,Alma littera,"18,4 x 17 x 1 cm, kieti viršeliai",Lietuvių,5,4,
Automobiliukas. Prisuk mane,Eaton Kait,2011,10,0,0,0,Alma littera,"21 x 21 cm, kieti viršeliai",Lietuvių,0,0,
Avelė Austėja ir spalvoti debesys,Jovita Kiežė,2022,32,11.49,3.39,0,Vaga,"21,5 x 21,5 x 1 cm, kieti viršeliai",Lietuvių,3,5,
Avelė nenori miego,Indrė Pavilonytė,2024,32,13.99,9.79,0,Alma littera,"20,5 x 25,5 x 0,7 cm, kieti viršeliai",Lietuvių,1,5,
Avilys: sužinok apie bites ir jų gyvenimą,Indrė Pavilonytė,2019,16,0,0,0,Vaiga,"23 x 23 x 2 cm, kieti viršeliai",Lietuvių,4,5,
Avinėlis: aš mažas,Indrė Pavilonytė,2020,10,0,0,0,Vaiga,"12,5 x 12,5 x 1,5 cm, kieti viršeliai",Lietuvių,0,0,
Avinėlis Raselas,Rob Scotton,2014,32,0,0,0,Nieko rimto,"20,6 x 20,6 x 0,9 cm, kieti viršeliai",Lietuvių,2,4,
Avinukas Balčius,Liuda Petkevičiūtė,2012,10,0,0,0,Trys nykštukai,"14 x 19 cm, kieti viršeliai",Lietuvių,1,5,
Aviukas Šonas. Didysis pabėgimas,Liuda Petkevičiūtė,2015,48,0,0,3.39,Nieko rimto,"15,9 x 22,9 cm, minkšti viršeliai",Lietuvių,0,0,
Aviukas Šonas. Pamišę dėl kirpimo,Liuda Petkevičiūtė,2015,48,0,0,3.39,Nieko rimto,"15,9 x 22,9 cm, minkšti viršeliai",Lietuvių,0,0,
Babaužiukai ir svečias iš kosmoso,Tadas Vidmantas,2023,38,12.39,11.15,0,Laukite tęsinio,"22 x 22 x 1 cm, kieti viršeliai",Lietuvių,3,5,
Baidyklėlė,Jeronimas Laucius,2002,16,0,0,0,Trys žvaigždutės,"21 x 29 x 0,2 cm, minkšti viršeliai",Lietuvių,0,0,
Baimė: mano pirmosios emocijos,Jeronimas Laucius,2021,26,8.11,4.87,0,Presvika,"16,5 x 16,5 x 2,2 cm, kieti viršeliai",Lietuvių,0,0,
Baisieji Alano dantys,Jarvis,2016,32,0,0,10.59,Burokėlis,"26 x 28,5 cm, kieti viršeliai",Lietuvių,1,5,
Balamutikai,Edita Lei,2021,26,12.16,10.94,0,Aridėja,"21,5 x 28,5 x 0,7 cm, kieti viršeliai",Lietuvių,2,3,
Balčius ir juodulis,Agneszka Fraczek,2012,10,0,0,0,Trys nykštukai,"15 x 15 cm, kieti viršeliai",Lietuvių,1,5,
Baltas vilkas,Agneszka Fraczek,2022,16,2.59,2.33,0,Dajalita,"21 x 29,5 x 0.2 cm, minkšti viršeliai",Lietuvių,0,0,
Baltasis lokiukas: pasakų knyga vaikams apie maisto gaminimą,Māra Viška,2018,40,10.69,9.62,10.69,700 eilučių,"22,5 x 29,7 x 1,6 cm, kieti viršeliai",Lietuvių,4,5,
Baltos Kalėdos. Smagios 6 dėlionės,Māra Viška,2014,12,0,0,0,Presvika,"17 x 17 cm, kieti viršeliai",Lietuvių,0,0,
Baltosios Lokės knyga,Elvyra Kučinskaitė,2021,64,16.09,14.48,0,700 eilučių,"17 x 24 x 0,4 cm, kieti viršeliai",Lietuvių,2,5,
Baltosios pelytės nuotykiai,Kornelijus Čiukovskis,2013,22,0,0,0,Alka,"17 x 29,5 cm, minkšti viršeliai",Lietuvių,0,0,
Baltųjų debesų gatvė,Emmanuelle Colin,2016,32,0,0,6.99,Nieko rimto,"25,6 x 26,1 cm, kieti viršeliai",Lietuvių,5,4,
Bambliukų pasakaitės,Emmanuelle Colin,2022,12,0,0,26.19,Trys nykštukai,"25,5 x 22,5 x 1 cm, kieti viršeliai",Lietuvių,2,3,
Bambukas yra lėėėtas,Benas Bėrantas,2021,32,10.04,9.04,0,Nieko rimto,"23,4 x 23,1 x 0,7 cm, kieti viršeliai",Lietuvių,1,5,
Gerda. Banginukės istorija,Adrián Macho,2018,32,0,0,8.67,Nieko rimto,"28,6 x 23 x 0,8 cm, kieti viršeliai",Lietuvių,5,4,
Barbė. Dėlionių knyga. 30 detalių,Adrián Macho,2017,5,0,0,0,Egmont Lietuva,"25,5 x 25,5 x 1 cm, kieti viršeliai",Lietuvių,1,5,
Barbie. Coliukė,Adrián Macho,2009,16,0,0,3.39,Egmont Lietuva,"20 x 20 x 0,2 cm, minkšti viršeliai",Lietuvių,0,0,
Barbie ir Paslaptingos durys. Pasakėlė su lipdukais,Adrián Macho,2015,16,0,0,0,Egmont Lietuva,"19,3 x 19,3 cm, minkšti viršeliai",Lietuvių,0,0,
Barbie. Mados pasaka,Adrián Macho,2010,30,0,0,5.18,Egmont Lietuva,"22 x 25 cm, kieti viršeliai",Lietuvių,0,0,
Barzdukas ir Kalėdų paslaptis,Nora Surojegin,2024,104,9.69,8.72,0,Nieko rimto,"19,2 x 24,4 x 1,4 cm, kieti viršeliai",Lietuvių,0,0,
Batuotas katinas (2019),Nora Surojegin,2019,10,0,0,0,Trys nykštukai,"18 x 14 x 1,2 cm, kieti viršeliai",Lietuvių,0,0,
Batuotas katinas: dėlionių knyga,Nora Surojegin,2021,12,0,0,0,Trys nykštukai,"16 x 19 x 2,5 cm, kieti viršeliai",Lietuvių,0,0,
Batuotas katinas,Andrius Rebždys,2023,16,2.79,2.51,0,Dajalita,"21,5 x 28,5 x 0,2 cm, minkšti viršeliai",Lietuvių,0,0,
Batuotas katinas ir kitos pasakos. 80 nepaprastų garsų,Andrius Rebždys,2014,28,0,0,0,Presvika,"26,5 x 30 cm, kieti viršeliai",Lietuvių,1,5,
Pasakos. Snieguolė. Batuotas katinas. Trys paršeliai,Andrius Rebždys,2022,76,9.39,7.98,0,Egmont Lietuva,"20,3 x 27,5 x 1 cm, kieti viršeliai",Lietuvių,0,0,
Batuotas katinas. Mėgstamiausios pasakos su garsais,Šarlis Pero,2012,10,0,0,0,Presvika,"24 x 23 cm, kieti viršeliai",Lietuvių,2,4,
Batuotas katinas (Nieko rimto),Ayano Imai,2014,28,0,0,11.79,Nieko rimto,"23,4 x 28,7 cm, kieti viršeliai",Lietuvių,1,5,
Batuotas katinas. Spalvinimo ir skaitymo knygelė,Ayano Imai,2012,16,0,0,0,Presvika,"16 x 23,5 cm, minkšti viršeliai",Lietuvių,1,5,
Batuotas katinas,Šarlis Pero,2018,32,9.99,8.99,9.99,Muzikija,"23 x 29 x 0,7 cm, kieti viršeliai",Lietuvių,1,5,
Baubai lovoje,Katie Cotton,2014,24,0,0,0,Nieko rimto,"23,5 x 27,5 cm, kieti viršeliai",Lietuvių,8,4,
Baubaimė,Benas Bėrantas,2020,40,9.00,8.10,0,Nieko rimto,"25,5 x 26 x 0,7 cm, kieti viršeliai",Lietuvių,7,5,
Baubas,Giorgio Volpe,2022,40,10.69,9.62,0,Nieko rimto,"21,4 x 30,3 cm, kieti viršeliai",Lietuvių,0,4,
Be galo be krašto apie poilsį,Simona Savickienė,2022,28,17.59,15.83,0,S. Savickienė,"19 x 26,5 x 1 cm, kieti viršeliai",Lietuvių,0,0,
Be galo kailiniuota ABĖCĖLĖ,Virginijus Malčius,2022,84,16.19,16.19,0,Lucilijus,"22,5 x 22,5 x 1,3 cm, kieti viršeliai",Lietuvių,0,0,
Bebenčiukas ir kvailutė,Kostas Kubilinskas,2010,32,0,0,5.20,Vaga,"16,4 x 25,1 cm, kieti viršeliai",Lietuvių,1,5,
Bebriukas Benas,Asta Gricė,2018,33,0,0,6.99,Nieko rimto,"22 x 24,5 x 0,9 cm, kieti viršeliai",Lietuvių,5,5,
Bebriukų metai: nuotykiai gamtoje,Selemonas Paltanavičius,2019,60,9.69,6.78,9.69,Alma littera,"24,5 x 22 x 0,9 cm, kieti viršeliai",Lietuvių,1,5,
Bėdos ir bėdelės,Rachel Rooney,2020,32,9.69,6.78,9.69,Alma littera,"25 x 26 x 0,8 cm, kieti viršeliai",Lietuvių,4,4,
Begemotas. Metas į vonią,Rachel Rooney,2024,8,7.79,7.79,0,Vaiga,"16,5 x 15,5 x 2 cm, minkšti viršeliai",Lietuvių,0,0,
Begemoto godos,Vytautas V. Landsbergis,2021,88,9.49,2.85,0,Dominicus Lituanus,"26 x 20,5 x 1 cm, kieti viršeliai",Lietuvių,2,5,
Bėgs pelytė vandenėlio. 6 dėlionės. Su rankenėle,Vytautas V. Landsbergis,2019,12,0,0,5.79,Presvika,"16 x 19 x 3 cm, kieti viršeliai",Lietuvių,0,0,
Belaukiant Kalėdų,Paola Migleri,2014,36,0,0,7.59,Presvika,"22 x 28 cm, kieti viršeliai",Lietuvių,2,4,
Mažųjų pasakėlės. Bembis. Batuotas katinas,Paola Migleri,2022,32,3.79,3.41,0,Trys nykštukai,"171 x 21 x 0,3 cm, kieti viršeliai",Lietuvių,0,0,
Bembis: dėlionių knyga (2021),Paola Migleri,2021,12,5.76,5.76,0,Trys nykštukai,"16 x 19 x 2,5 cm, kieti viršeliai",Lietuvių,0,0,
Bembis: dėlionių knyga,Paola Migleri,2019,12,0,0,3.74,Trys nykštukai,"16,3 x 19 x 2,5 cm, kieti viršeliai",Lietuvių,0,0,
Bembis: iškilūs paveikslėliai,Paola Migleri,2021,10,0,0,0,Trys nykštukai,"18 x 14 x 1,5 cm, kieti viršeliai",Lietuvių,1,5,
Bembis. Bembio vaikai (2015),Felix Salten,2015,416,0,0,6.99,Alma littera,"13 x 20,5 cm, kieti viršeliai",Lietuvių,2,5,
Bembis. Dėlionių knygelė (2017),Felix Salten,2017,8,0,0,5.79,Egmont Lietuva,"22,5 x 19 x 1,5 cm, kieti viršeliai",Lietuvių,0,0,
Bembis (didelės raidės),Disney,2012,40,0,0,0,Egmont Lietuva,"21 x 30 cm, kieti viršeliai",Lietuvių,0,0,
Bembis,Disney,2012,62,0,0,3.00,Trys nykštukai,"8 x 11 cm, kieti viršeliai",Lietuvių,0,0,
"Berniukas, kuris piešė kates",Lafcadio Hearn,2021,54,15.69,12.55,0,Helios Kirjastus,"31 x 31 x 1 cm, kieti viršeliai",Lietuvių,1,5,
"Berniukas, meškiukas, balionas",Brittany Rubiano,2018,48,0,0,9.39,Egmont Lietuva,"22 x 29 x 0,7 cm, kieti viršeliai",Lietuvių,1,5,
Berniukas ir jo mylinti širdis,François David,2017,36,16.18,14.56,0,Mažojo princo fondas,"27 x 33 cm, kieti viršeliai",Lietuvių,1,5,
Berniukas ir jūra. The Boy and the Sea,Oleg Chaklun,2017,40,0,0,6.99,Mažoji raidė,"17,5 x 21,5 x 0,7 cm, kieti viršeliai","Lietuvių, Anglų",1,5,
Berniukas ir maišiukas,Danguolė Kandrotienė,2021,32,8.09,5.26,8.09,Debesų ganyklos,"23,1 x 28,1 x 1 cm, kieti viršeliai",Lietuvių,0,0,
Besmegeniai ir dingusios nosys,Danguolė Kandrotienė,2022,32,9.69,7.23,9.69,Debesų ganyklos,"28 x 32 x 1 cm, kieti viršeliai",Lietuvių,3,5,
Biblijos nuotykiai pastabiesiems. Mažojo tyrinėtojo knyga,Charlotte Thoroe,2015,20,0,0,0,Lietuvos Biblijos Draugija,"21 x 30,6 cm, kieti viršeliai",Lietuvių,0,0,
Biklio nuotykiai: neįsivaizduojamas draugas,Dan Santat,2022,40,13.19,11.87,0,Apkabink mėnulį,"22 x 28,5 x 0,8 cm, kieti viršeliai",Lietuvių,0,0,
Bilas ir sapnų angelas,Lucinda Riley,2022,56,14.15,12.74,0,Tyto alba,"21,4 x 26,6 x 1,1 cm, kieti viršeliai",Lietuvių,1,5,
Bitė ir aš,Alison Jay,2020,32,0,0,9.39,Alma littera,"24,5 x 24,5 x 0,5 cm, kieti viršeliai",Lietuvių,6,4,
Bitė Maja. Karalienės pasiuntinys. Su lipdukais. Skaitai tu. Skaitau aš,Alison Jay,2014,24,0,0,0,Egmont Lietuva,"19 x 19 cm, minkšti viršeliai",Lietuvių,0,0,
Bitė Maja. Maži eilėraštukai mergytėms ir berniukams,Alison Jay,2014,6,0,0,0,Egmont Lietuva,"16,5 x 16,5 cm, kieti viršeliai",Lietuvių,1,2,
Bitė Rūta,Rūta Lukšienė,2010,55,0,0,0,Versus Aureus,"21 x 21 cm, kieti viršeliai",Lietuvių,0,0,
"Bitutė Darbštutė: maži, bet naudingi",Veronica Podesta,2018,16,0,0,10.31,Presvika,"16 x 16 x 0,3 cm, kieti viršeliai",Lietuvių,3,5,
Bjaurusis ančiukas: knygelė su iškylančiais paveikslėliais,Veronica Podesta,2018,12,0,0,0,Trys nykštukai,"18 x 14 x 1,5 cm, kieti viršeliai",Lietuvių,1,5,
Bjaurusis ančiukas. Spalvinimo ir skaitymo knygelė,Veronica Podesta,2012,16,0,0,0,Presvika,"16,5 x 23,5 cm, minkšti viršeliai",Lietuvių,1,4,
Bjaurusis ančiukas. Trys nykštukai,Veronica Podesta,2012,64,0,0,0,Trys nykštukai,"8 x 11 cm, kieti viršeliai",Lietuvių,0,0,
"Blogas šuo, Marli!",John Grogan,2012,32,0,0,6.99,Obuoliukas,"25,4 x 25,4 cm, kieti viršeliai",Lietuvių,4,4,
Blynai spintoje,Jurga Baltrukonytė,2021,60,9.29,6.50,9.29,Alma littera,"14,3 x 21,3 x 1 cm, kieti viršeliai",Lietuvių,2,5,
Blynai spintoje,Jurga Baltrukonytė,2014,60,0,0,5.79,Alma littera,"20,5 x 20,5 cm, kieti viršeliai",Lietuvių,2,5,
Blynų slibinas,Dainius Šukys,2016,56,0,0,24.99,Vilniaus dizaino kolegija,"21,5 x 28,7 x 0,7 cm, kieti viršeliai",Lietuvių,3,5,
Boružė Liputė. Pasaka apie draugystę,Dainius Šukys,2016,16,0,0,0,Jūsų Flintas,"21x 29,5 x 0,2 cm, minkšti viršeliai",Lietuvių,1,5,
Boružė Liputė. Pasaka apie namus,Dainius Šukys,2016,16,0,0,0,Jūsų Flintas,"21x 29,5 x 0,2 cm, minkšti viršeliai",Lietuvių,1,5,
Boružė Liputė šypsosi ir žaidžia,Ilona Bakštė,2019,32,6.69,6.02,6.69,Jūsų Flintas,"21,4 x 30,3 x 0,8 cm, kieti viršeliai",Lietuvių,6,5,
Boružė Liputė šypsosi ir žaidžia,Ilona Bakšė,2020,31,5.79,4.05,0,Jūsų Flintas,"21,7 x 31 x 0,8 cm, kieti viršeliai",Lietuvių,0,0,
Boružėlė,Campbell Books,2023,10,11.79,4.69,0,Alma littera,"18 x 18 x 1,3 cm, kieti viršeliai",Lietuvių,1,1,
"Brinkis, Kryksius ir stebuklinga skrybėlė",Campbell Books,2012,40,3.24,2.92,3.24,Trys nykštukai,"14,5 x 18 cm, kieti viršeliai",Lietuvių,0,0,
Britannica. Mažylių enciklopedija,Sally Symes,2024,72,0,0,0,Alma littera,"21,6 x 28,5 x 3,8 cm, kieti viršeliai",Lietuvių,0,0,
Broliai ir sesės,Ariel Andrés Almada,2022,36,11.39,10.25,0,Odilė,"21 x 26 x 0,8 cm, kieti viršeliai",Lietuvių,0,4,
Brolio triušio nuotykiai,Ariel Andrés Almada,2020,76,0,0,6.27,Egmont Lietuva,"20 x 26,5 x 1 cm, kieti viršeliai",Lietuvių,1,5,
Brolis. Sesė,Rocio Bonilla,2021,56,11.84,10.66,11.84,Apkabink mėnulį,"24,5 x 27 x 1 cm, kieti viršeliai",Lietuvių,0,0,
Brolių Grimų pasakos apie gyvūnus,Broliai Grimai,2021,88,12.08,8.46,12.08,Nieko rimto,"24,9 x 28,1 x 1,2 cm, kieti viršeliai",Lietuvių,0,0,
Brunas ir Filipas,Anastazija Žilionytė,2010,24,0,0,0,Agatha Press,"22 x 28 cm, minkšti viršeliai",Lietuvių,0,0,
Bruolis ir neklaužados traktoriai. Audioknyga,"Disney, Pixar",2013,32,0,0,0,Egmont Lietuva,"14 x 13 cm, kieti viršeliai",Lietuvių,0,0,
Bruzdus kiemas. Ne iš kelmo spirti,Ruth Martin,2015,10,0,0,12.99,Trys nykštukai,"26,5 x 20,5 cm, kieti viršeliai",Lietuvių,0,0,
Bučinukai,Selma Mandine,2013,24,0,0,11.99,Nieko rimto,"25,3 x 19,8 cm, kieti viršeliai",Lietuvių,1,5,
"BUČKIS PRIEŠ MIEGĄ: inovatyvi, interaktyvi knyga, kuri padės sukurti smagų pasakos ritualą ir padės mažyliui lengviau užmigti",Patricia Geis,2020,14,22.79,20.51,0,Apkabink mėnulį,"18,6 x 25,7 x 1,8 cm, kieti viršeliai",Lietuvių,13,4,
"Būk girtinas, bet nesigirk",Patricia Geis,2012,10,0,0,0,Trys nykštukai,"12 x 15 cm, kieti viršeliai",Lietuvių,0,0,
Būk mandagus kaip drakonas!,Štĕpánka Sekaninová,2023,26,10.99,9.89,0,Nieko rimto,"24,5 x 24,5 x 1,5 cm, kieti viršeliai",Lietuvių,0,0,
Būk sveikas: linksmas sveikatos patikrinimas su kalbančiu stetoskopu,Štĕpánka Sekaninová,2018,10,12.97,9.73,0,Presvika,"24 x 24,5 x 1,4 cm, kieti viršeliai",Lietuvių,4,5,
"Buratinas, arba auksinis raktelis",Štĕpánka Sekaninová,2025,16,2.99,2.69,0,Dajalita,"21,5 x 28,5 x 0,2 cm, minkšti viršeliai",Lietuvių,0,0,
Burtininkystė: Merlino paslapčių knyga,Dugald A. Sterr,2007,28,0,0,0,Presvika,"26 x 30 cm, kieti viršeliai",Lietuvių,0,0,
Būsiu tau žvaigžde,Jolanta Lunevičienė,2023,22,9.79,8.81,0,Meno tekstilė,"15 x 13 x 1,7 cm, kieti viršeliai",Lietuvių,8,5,
Būti tigru,Przemysław Wechterowicz,2018,32,0,0,7.99,Nieko rimto,"25,6 x 26,1 x 0,7 cm, kieti viršeliai",Lietuvių,7,5,
Bz Bz Bzt namuose,Indrė Pliuškytė-Zalieckienė,2024,16,11.79,7.75,0,Alma littera,"20 x 20 cm, kieti viršeliai",Lietuvių,3,5,
Česteris,Ayano Imai,2013,28,0,0,8.19,Nieko rimto,"23,4 x 28,7 cm, kieti viršeliai",Lietuvių,0,0,
Chameleono sapnai,Jurga Vilė,2021,48,0,0,18.99,Tikra knyga,"24,5 x 28,5 x 1 cm, kieti viršeliai",Lietuvių,3,5,
Charakterio savybės,Jennifer Moore-Mallinos,2023,96,12.99,9.74,0,Presvika,"21,5 x 24,5 x 1,1 cm, kieti viršeliai",Lietuvių,0,0,
Čia gyvena pasakos,Jennifer Moore-Mallinos,2023,140,12.99,9.74,12.99,Presvika,"21,5 x 28,5 x 1,5 cm, kieti viršeliai",Lietuvių,0,0,
Čia ne džiunglės,Susanna Isern,2022,32,10.99,8.79,0,Lietuvos rašytojų sąjungos leidykla,"24,5 x 27 x 0,8 cm, kieti viršeliai",Lietuvių,4,5,
"Čia pradžia, čia ne pabaiga: mano pirmoji knygelė",Kristina Rinkevičiūtė,2020,20,0,0,16.59,Alma littera,"16 x 16 x 1 cm, kieti viršeliai",Lietuvių,10,3,
Čiauškalai ir Garmalai,Kristina Rinkevičiūtė,2011,10,0,0,0,Trys nykštukai,"21 x 23,5 cm, kieti viršeliai",Lietuvių,0,0,
Čikas ir Kikas,Čarlzas Torsonas,2017,32,9.69,7.75,0,Odilė,"22 x 29,5 x 0,7 cm, kieti viršeliai",Lietuvių,4,5,
Čipolino nuotykiai,Gianni Rodari,2022,256,22.99,10.29,22.99,Alma littera,"16,5 x 23,5 x 2,2 cm, kieti viršeliai",Lietuvių,5,5,
Čipolino nuotykiai,Gianni Rodari,2018,16,0,0,6.99,Dajalita,"21,5 x 28,5 x 0,2 cm, minkšti viršeliai",Lietuvių,10,3,
Čiūčia ir Piratas. Didžiausia betvarkė,Benas Bėrantas,2024,32,14.39,10.07,0,Alma littera,"25 x 25 x 0,8 cm, kieti viršeliai",Lietuvių,0,0,
Kakė Makė. Čiūčia ir Piratas: laukiniai nuotykiai,Benas Bėrantas,2022,32,14.22,9.95,0,Alma littera,"24,5 x 24,5 x 0,7 cm, kieti viršeliai",Lietuvių,2,5,
Čiūčia ir Piratas. Netikėtas sekmadienis,Benas Bėrantas,2023,32,14.49,10.14,14.49,Alma littera,"24,5 x 24,5 x 1 cm, kieti viršeliai",Lietuvių,2,3,
"Čiūčia liūlia, mik, kiškuti",Hollie Hughes,2023,24,7.59,6.83,0,Trys nykštukai,"15,5 x 17,5 x 1,8 cm, kieti viršeliai",Lietuvių,0,0,
"Čiūčia liūlia, ūkio mažyliai!",Hollie Hughes,2024,8,10.79,8.05,0,Vaiga,"16 x 16 x 2,5 cm, minkšti viršeliai",Lietuvių,0,0,
Čiuku čiuku traukinukas: skaičiuok ir pažink gyvūnus,Hollie Hughes,2020,12,0,0,0,Trys nykštukai,"16 x 9 x 0,9 cm, kieti viršeliai",Lietuvių,1,5,
Čiurlionio abėcėlė,Vainius Bakas,2024,72,0,0,23.80,Nacionalinis M.K. Čiurlionio dailės muziejus,"16 x 9 x 0,9 cm, kieti viršeliai",Lietuvių,0,0,
Coliukė. Skaitymas skiemenimis,Vainius Bakas,2015,28,0,0,0,Naujoji Rosma,"28 x 21 cm, minkšti viršeliai",Lietuvių,0,0,
"Daiktai, kurie juda (10 įspūdingų garsų)",Vainius Bakas,2018,10,0,0,0,Vaiga,"29 x 25 cm, kieti viršeliai",Lietuvių,1,5,
Dainuojančios pasakos,Liuda Petkevičiūtė,2008,68,0,0,0,Trys nykštukai,"26 x 26 cm, kieti viršeliai",Lietuvių,1,5,
Daktaras Aiskauda ir jo žvėrys. Pagal Kornejų Čiukovskį,Liuda Petkevičiūtė,2024,16,2.99,2.69,0,Dajalita,"21,5 x 28,5 x 0,2 cm, minkšti viršeliai",Lietuvių,0,0,
Daktaras Bambeklis eina maudytis,Daniel Napp,2014,28,0,0,9.26,Nieko rimto,"24 x 30 cm, kieti viršeliai",Lietuvių,4,4,
Daktaras Bambeklis važiuoja traukiniu,Daniel Napp,2013,28,0,0,12.99,Nieko rimto,"24 x 30 cm, kieti viršeliai",Lietuvių,1,4,
Dangaus Ežys,Mili Joni,2020,38,6.81,6.13,6.81,3 norai,"22,7 x 22,5 x 1 cm, kieti viršeliai",Lietuvių,0,0,
Dangaus žvaigždelė,Przemysław Wechterowicz,2023,32,10.59,9.53,0,Nieko rimto,"26,1 x 25,5 x 0,8 cm, kieti viršeliai",Lietuvių,0,4,
Dangus griūva. Muzikinė pasaka,Przemysław Wechterowicz,2012,32,0,0,0,Strazdanėlės,"14 x 12,5, minkšti viršeliai",Lietuvių,0,0,
Dangus griūva! Vakaro pasakėlė,Przemysław Wechterowicz,2015,8,0,0,0,Alma littera,"26,7 x 27 x 2,5 cm, kieti viršeliai",Lietuvių,2,5,
Danielius ir liūtai,Charlotte Thoroe,2011,28,0,0,0,Lietuvos Biblijos Draugija,"17,5 x 17,5 cm, kieti viršeliai",Lietuvių,0,0,
Danielius liūtų urve,Ilja Bereznickas,2020,24,9.29,8.36,0,Mintis,"20,5 x 22,5 x 0,8 cm, kieti viršeliai",Lietuvių,0,0,
Dantukų fėja,Lulu Frost,2014,32,0,0,6.99,Alma littera,"19 x 24 cm, kieti viršeliai",Lietuvių,0,0,
Dar penkias minutes,Marta Altes,2019,32,0,0,12.99,Nieko rimto,"23 x 28,6 x 0,8 cm, kieti viršeliai",Lietuvių,3,5,
Darbai ūkyje,Marta Altes,2003,131,0,0,0,Naujoji Rosma,"18,5 x 22,5 x 1 cm, kieti viršeliai",Lietuvių,1,5,
Darbas geriausiai šildo,Liuda Petkevičiūtė,2002,8,0,0,0,Trys nykštukai,"15 x 22 cm, kieti viršeliai",Lietuvių,0,0,
Darbėnai,Richard Scarry,2022,48,15.79,10.99,15.79,Alma littera,"26 x 30 x 0,9 cm, kieti viršeliai",Lietuvių,2,3,
Darbėnai,Richard Scarry,2011,44,0,0,2.43,Alma littera,"26,6 x 31 cm, kieti viršeliai",Lietuvių,0,5,
Darbščioji bitė. Mažieji draugai,Richard Scarry,2005,10,0,0,0,Mūsų knyga,"11 x 12 cm, kieti viršeliai",Lietuvių,0,0,
Darbštusis ūkis,Tony Wolf,2010,10,0,0,0,Alma littera,"33 x 36 cm, kieti viršeliai",Lietuvių,0,0,
Daug linksmų gyvūnų: pirmoji pirštukų žaidimų knygelė,Tony Wolf,2020,14,7.30,5.48,0,Presvika,"16 x 15 x 1 cm, kieti viršeliai",Lietuvių,0,0,
Daugiapasaulės sakmė,N. Gabija Wolmer,2022,100,15.59,14.03,0,AMBER BOOKS,"19,5 x 26,5 x 1,4 cm, kieti viršeliai",Lietuvių,1,5,
Daugyba. Linksmi pratimai su 132 daugkartiniais lipdukais,N. Gabija Wolmer,2006,12,0,0,0,Presvika,"15,4 x 25,7 cm, minkšti viršeliai",Lietuvių,2,5,
Debesėlis,Raimondas J. Nabus,2014,48,0,0,2.00,Mažoji raidė,"18,5 x 18,5 cm, kieti viršeliai",Lietuvių,2,5,
Debesėlių tiltas,Kostas Kubilinskas,2013,72,0,0,18.99,Nieko rimto,"23,3 x 26,1 cm, kieti viršeliai",Lietuvių,0,0,
Debesų pataluos: vakaro pasakojimai mažiesiems,Kostas Kubilinskas,2017,240,0,0,17.79,Debesų ganyklos,"21 x 27 x 2,1 cm, kieti viršeliai",Lietuvių,4,5,
Dėdė Nojus vasaroja,Daniel Napp,2012,30,0,0,0,Gimtasis žodis,"23,5 x 30,5 cm, kieti viršeliai",Lietuvių,0,5,
Dėlionė „Braškių diena“. 50 detalių,Kęstutis Kasparavičius,2021,30,8.19,8.19,0,Nieko rimto,"15 x 21 cm, dežutė",Lietuvių,1,5,
