Pavadinimas,Autorius,Žanras,Metai,Puslapiai,Kaina,Akcijinė kaina,Perskaitytos kaina,Leidėjas,Formatas,Kalba,Įvertinimų skaičius,Žvaigždučių skaičius
Smaguris,Ian McEwan,"Detektyvai, trileriai",2017,384,0,0,3.39,Jotema,"15 x 22 x 3,2 cm, kieti viršeliai",Lietuvių,4,3
Smaragdinės rasos (PFAF 481),Julij Burkin,Fantastika,2011,304,0,0,0,Eridanas,"12,5 x 20 cm, minkšti viršeliai",Lietuvių,0,4
Smaragdo knyga,Imhof Agnes,Užsienio autorių romanai,2011,384,0,0,5.79,Alma littera,"14,8 x 24,2 cm, kieti viršeliai",Lietuvių,3,3
Smarkuolė Gilė Hopkins (2015),Katherine Paterson,Knygos paaugliams,2015,176,0,0,6.50,Alma littera,"12,5 x 19,8 x 1,1 cm, minkšti viršeliai",Lietuvių,8,4
"SMEIGTUKAI. Pasakojimas apie gyvenimo alkį, temstantį pasaulį ir širdies šviesą",Greta Olivo,Užsienio autorių romanai,2024,248,20.69,15.52,20.69,Lietuvos rašytojų sąjungos leidykla,"14,8 x 21,7 x 2,6 cm, kieti viršeliai",Lietuvių,3,3
SMEIGTUKO TILTAS. Ji negalėjo pati nušokti į tarpeklį. Sesers bandymas išsiaiškinti tiesą virsta kova už gyvybę. Naujas bestselerių „Be išeities“ ir „Taikiklyje“ autoriaus trileris,Taylor Adams,"Detektyvai, trileriai",2024,330,19.99,13.99,19.99,BALTO leidybos namai,"14,9 x 21,9 x 3 cm, kieti viršeliai",Lietuvių,2,3
Šmėklų draugija,Lydie Salvayre,Užsienio autorių romanai,1998,148,0,0,2.09,Tyto alba,"14,5 x 20,5 cm, minkšti viršeliai",Lietuvių,0,3
Šmėklų karalius (PFAF 402),David Gemmell,Fantastika,2007,282,0,0,15.39,Eridanas,"13 x 20 cm, minkšti viršeliai",Lietuvių,0,4
Smėlio karaliai (PFAF 17),David Gemmell,Fantastika,1994,224,0,0,2.59,Eridanas,"13 x 20 cm, minkšti viršeliai",Lietuvių,1,5
Smėlio knyga (2006),Jorge Luis Borges,Užsienio autorių romanai,2006,383,0,0,9.39,Lietuvos rašytojų sąjungos leidykla,"14,5 x 21,7 x 3 cm, kieti viršeliai",Lietuvių,0,0
"SMĖLIO KNYGA: pribloškiantis siužetas, vaizduotė ir nesugriaunama logika",Jorge Luis Borges,Užsienio autorių romanai,2016,460,0,0,9.39,Lietuvos rašytojų sąjungos leidykla,"14,5 x 21,7 x 3,8 cm, kieti viršeliai",Lietuvių,4,4
Smėlio krikštai,Janina Survilaitė,"Poezija, drama, esė",2012,63,4.94,4.45,0,Andrena,"13 x 21,5 cm, minkšti viršeliai",Lietuvių,1,5
Smėlio laiptais,Renata Širvinskienė,"Menas, mada, fotografija",2023,240,27.59,24.83,0,Gelmės,"22,8 x 22,6 x 2,2 cm, kieti viršeliai",Lietuvių,1,5
Smėlio pilies mergaitės,Chris Bohjalian,Meilės romanai,2021,280,0,0,11.79,Briedis,"14,5 x 21,5 x 2,5 cm, minkšti viršeliai",Lietuvių,8,4
Smėlio žmogus (2020),Lars Kepler,"Detektyvai, trileriai",2020,592,16.65,14.99,16.65,Obuolys,"14,5 x 21,5 x 4,8 cm, kieti viršeliai",Lietuvių,8,4
Smėlio žmogus (minkšti viršeliai),Lars Kepler,"Detektyvai, trileriai",2017,560,0,0,15.00,Obuolys,"12,5 x 18,7 cm, minkšti viršeliai",Lietuvių,7,5
Smėlio žmogus: vokiečių romantikų pasakos,Lars Kepler,Užsienio autorių romanai,1999,447,0,0,0,Alma littera,"14,5 x 24 cm, kieti viršeliai",Lietuvių,0,0
"SMĖLIO ŽMOGUS: naujas pasaulinių bestselerių HIPNOTIZUOTOJAS, PAGANINIO KONTRAKTAS ir UGNIES LIUDININKAS autoriaus romanas",Lars Kepler,"Detektyvai, trileriai",2014,592,0,0,14.19,Obuolys,"14,2 x 21,3 cm, kieti viršeliai",Lietuvių,50,4
Smėlis,Hugh Howey,Fantastika,2019,336,0,0,17.99,Alma littera,"14,3 x 23,5 x 3 cm, kieti viršeliai",Lietuvių,8,3
Smėlynų vanduo,Aidas Kelionis,Lietuvių autorių romanai,2009,134,0,0,3.39,Tyto alba,"14,7 x 21,5 cm, minkšti viršeliai",Lietuvių,1,5
Smilgos šešėlis: vidurnaktis,Vytautas Rubavičius,"Poezija, drama, esė",2020,136,7.79,6.23,0,Lietuvos rašytojų sąjungos leidykla,"14 x 22,5 x 0,9 cm, minkšti viršeliai",Lietuvių,0,0
Smirnos burtininkės,Mara Meimaridi,Užsienio autorių romanai,2007,439,0,0,11.69,Vaga,"14,5 x 21,5 x 3,5 cm, kieti viršeliai",Lietuvių,0,4
Smogikų gaujos apsilankymas,Jennifer Egan,Užsienio autorių romanai,2012,336,0,0,0,Metodika,"15 x 22 cm, kieti viršeliai",Lietuvių,0,4
Smokas Belju (1957),Džekas Londonas,Klasika,1957,341,0,0,12.99,Vaga,"13,8 x 20,2 cm, kieti viršeliai",Lietuvių,1,5
Smolensko pulkai,Romualdas Drakša,Lietuvių autorių romanai,2017,182,10.90,9.27,10.90,Eugrimas,"15 x 22 x 2 cm, kieti viršeliai",Lietuvių,1,3
SMS gėlytė,Nojus Saulytis,"Poezija, drama, esė",2020,80,9.49,7.59,0,Kitos knygos,"14,8 x 21 x 0,5 cm, minkšti viršeliai",Lietuvių,2,3
Smuiko balsas,Andrea Camilleri,"Detektyvai, trileriai",2011,240,0,0,4.59,Baltos lankos,"12 x 20 cm, minkšti viršeliai",Lietuvių,0,4
The Fine Print. Smulkiu šriftu. Serija Dreamland Billionaires. 1 knyga,Lauren Asher,Meilės romanai,2023,480,18.79,12.79,18.79,Svajonių knygos,"14,8 x 21,5 x 3,5 cm, kieti viršeliai",Lietuvių,39,4
Smulkūs vedybiniai nusikaltimai,Eric-Emmanuel Schmitt,Užsienio autorių romanai,2004,97,0,0,2.31,Alma littera,"13,5 x 20,5 cm, kieti viršeliai",Lietuvių,0,4
Šnabždesiai smėlyje,Barbara Erskine,Užsienio autorių romanai,2007,504,0,0,7.59,Versus Aureus,"14,5 x 21,5 x 4 cm, kieti viršeliai",Lietuvių,0,0
Šnabždesys,Vilis Normanas,Lietuvių autorių romanai,2005,199,0,0,12.99,Tyto alba,"14,5 x 21,5 cm, minkšti viršeliai",Lietuvių,0,0
"ŠNABŽDĖTOJAS: mistinis trileris, kuriame susipina trikdantis košmaras, jautri tėvo ir sūnaus santykių istorija, sielvartas, netektis bei naujo gyvenimo pradžia",Alex North,"Detektyvai, trileriai",2019,384,0,0,11.79,Sofoklis,"14,5 x 21,5 x 2,7 cm, kieti viršeliai",Lietuvių,5,4
Snaudė naktį aukso debesėlis,Anatolijus Pristavkinas,Užsienio autorių romanai,1989,201,0,0,2.00,Vaga,"14 x 21 cm, minkšti viršeliai",Lietuvių,0,5
Snaudžiantis tigras,Rosamunde Pilcher,Užsienio autorių romanai,2002,208,0,0,3.39,Alma littera,"12 x 20,3 cm, kieti viršeliai",Lietuvių,0,0
Šnibždėk man apie meilę,Širlė Basbi,Meilės romanai,1995,416,0,0,4.59,Rosma,"13 x 20 cm, kieti viršeliai",Lietuvių,1,5
"Sniegas, benamis, krentantis",Julius Keleras,"Poezija, drama, esė",2007,88,2.99,2.69,0,Apostrofa,"17 x 17 cm, minkšti viršeliai",Lietuvių,0,0
Sniegas,Orhan Pamuk,"Detektyvai, trileriai",2014,510,0,0,10.00,Tyto alba,"15 x 22 cm, kieti viršeliai",Lietuvių,1,4
Sniegas,Maxence Fermine,Užsienio autorių romanai,2003,112,0,0,4.95,Alma littera,"13 x 19 cm, minkšti viršeliai",Lietuvių,2,5
Sniegė ir jos devynetas,Pasi Ilmari Jääskeläinen,"Detektyvai, trileriai",2016,320,0,0,4.59,Versus Aureus,"14 x 21 cm, kieti viršeliai",Lietuvių,4,4
Sniego mokykla,Emmanuel Carrere,Užsienio autorių romanai,2004,143,0,0,0,Alma littera,"13 x 20 cm, kieti viršeliai",Lietuvių,0,4
Sniego paukštytė,Stef Ann Holm,Meilės romanai,1997,348,0,0,5.79,Tyrai,"13 x 20,5 x 2 cm, kieti viršeliai",Lietuvių,1,5
SNIEGO SENIS: mįslingai šiurpus kūrinys su rafinuotais siaubo trilerio elementais,Jo Nesbø,"Detektyvai, trileriai",2021,472,14.39,10.79,14.39,Baltos lankos,"21,5 x 14 x 3,5 cm, kieti viršeliai",Lietuvių,28,4
Sniego vaikas,Eowyn Ivey,Užsienio autorių romanai,2012,304,0,0,10.59,Metodika,"15 x 22 cm, kieti viršeliai",Lietuvių,7,4
Sniego žmogus,Loreta Latonaitė,Lietuvių autorių romanai,1995,78,0,0,0,Vaidoto Oškinio leidykla,"14 x 20 cm, minkšti viršeliai",Lietuvių,0,0
Snieguolė ir septintasis paveldėtojas. Tai nutinka (ne tik) pasakose. 2 knyga,Jennifer Faye,Meilės romanai,2020,256,2.79,2.79,2.79,Svajonių knygos,"10,8 x 18,1 x 1,5 cm, minkšti viršeliai",Lietuvių,0,4
Snieguolė turi mirti,Nele Neuhaus,"Detektyvai, trileriai",2014,456,0,0,10.59,Alma littera,"14,3 x 23,5 cm, kieti viršeliai",Lietuvių,7,4
Snieguolės,A. D. Miller,"Detektyvai, trileriai",2012,200,0,0,14.99,Metodika,"15 x 22 cm, kieti viršeliai",Lietuvių,3,2
Sniegynų šalis (1994),Jasunaris Kavabata,Užsienio autorių romanai,1994,106,0,0,2.00,Tyto alba,"13,5 x 20 cm, minkšti viršeliai",Lietuvių,0,0
Sniegynų šalis,Yasunari Kawabata,Užsienio autorių romanai,2008,160,0,0,0,Alma littera,"12,7 x 19,8 cm, minkšti viršeliai",Lietuvių,0,0
Sniegynų šalis,Jasunaris Kavabata,Užsienio autorių romanai,1971,138,0,0,2.19,Vaga,"13,5 x 20 cm, kieti viršeliai",Lietuvių,0,0
Snigo,Patrick Rambaud,Užsienio autorių romanai,2005,296,8.92,8.03,0,Žara,"14,5 x 22 cm, kieti viršeliai",Lietuvių,0,0
Šnipai voratinklyje,Maiklas Eneslis,Užsienio autorių romanai,1993,160,0,0,3.33,Europa,"14 x 21 x 1 cm, minkšti viršeliai",Lietuvių,0,0
Šnipas (1972),Džeimsas Kuperis,Knygos paaugliams,1972,294,0,0,2.19,Vaga,"13,5 x 20,5 cm, kieti viršeliai",Lietuvių,0,0
Šnipė,Paulo Coelho,Užsienio autorių romanai,2016,184,0,0,6.49,Vaga,"14,5 x 21,5 x 2 cm, kieti viršeliai",Lietuvių,2,5
Šnipų pakrantė,Tess Gerritsen,"Detektyvai, trileriai",2024,368,15.59,11.94,15.59,Jotema,"14,8 x 21,8 x 3,2 cm, kieti viršeliai",Lietuvių,3,4
"ŠNIPŲ PALIKIMAS: šnipų žanro klasiko naujas romanas, labai gerai įvertintas tiek kritikų, tiek autoriaus gerbėjų",John le Carre,"Detektyvai, trileriai",2018,344,0,0,10.59,Lietuvos rašytojų sąjungos leidykla,"14,5 x 21,7 x 3,4 cm, kieti viršeliai",Lietuvių,2,5
Šnipų romanas,Boris Akunin,Užsienio autorių romanai,2013,288,0,0,14.79,Sofoklis,"21 x 14 cm, kieti viršeliai",Lietuvių,5,5
Šnipų vadas,Brad Thor,"Detektyvai, trileriai",2019,320,5.39,4.85,5.39,Mileda,"15 x 22 x 3 cm, kieti viršeliai",Lietuvių,3,5
Snobai,Julian Fellowes,Užsienio autorių romanai,2006,360,0,0,4.20,Alma littera,"16 x 23,5 cm, minkšti viršeliai",Lietuvių,2,4
Snobų knyga,Viljamas Meikpisas Tekerėjus,Užsienio autorių romanai,1971,281,0,0,4.59,Vaga,"13 x 21 cm, kieti viršeliai",Lietuvių,0,0
SNUFF,Viktor Pelevin,Fantastika,2013,432,0,0,17.99,Kitos knygos,"14,5 x 20,5 cm, kieti viršeliai",Lietuvių,0,4
Socialus padaras,Tara Isabella Burton,"Detektyvai, trileriai",2024,320,14.49,11.14,14.49,Jotema,"14,8 x 21,9 x 2,8 cm, kieti viršeliai",Lietuvių,8,5
Sodas,Marina Stepnova,Užsienio autorių romanai,2020,344,6.09,4.88,6.09,Tyto alba,"14,7 x 22,1 x 3,5 cm, kieti viršeliai",Lietuvių,16,4
Sodas,Gintaras Bleizgys,"Poezija, drama, esė",2012,112,0,0,0,Lietuvos rašytojų sąjungos leidykla,"14,5 x 23 cm, kieti viršeliai",Lietuvių,0,0
Sodininkas iš Prancūzijos (minkšti viršeliai),Santa Montefiore,Meilės romanai,2015,384,0,0,17.79,Alma littera,"12,5 x 19,8 cm, minkšti viršeliai",Lietuvių,17,4
Sodininkas iš Prancūzijos,Santa Montefiore,Meilės romanai,2012,376,0,0,16.59,Alma littera,"15 x 24 cm, kieti viršeliai",Lietuvių,9,5
Sodo kerai,Addison Allen Sarah,Meilės romanai,2011,320,0,0,16.99,Svajonių knygos,"14 x 21 cm, minkšti viršeliai",Lietuvių,4,4
Sodo tyla,Maria Vallejo-Nagera,Užsienio autorių romanai,2008,256,0,0,8.19,Vaga,"13 x 23 cm, kieti viršeliai",Lietuvių,0,4
Sodoma ir Gomora (1996),Marcel Proust,Klasika,1996,406,0,0,22.59,Alma littera,"15 x 24 x 2 cm, kieti viršeliai",Lietuvių,0,4
Sodyboje ir lūšnoje,Vitezslavas Halekas,Užsienio autorių romanai,1976,123,0,0,0,Vaga,"13 x 17 cm, kieti viršeliai",Lietuvių,0,0
Sodybų tuštėjimo metas (1973),Jonas Avyžius,Klasika,1973,613,0,0,3.50,Vaga,"14 x 20,5 x 3 cm, kieti viršeliai",Lietuvių,1,5
Sodybų tuštėjimo metas. Ketvirta knyga,Jonas Avyžius,Lietuvių autorių romanai,1989,402,0,0,4.59,Vaga,"13,5 x 20,5 x 2,5 cm, kieti viršeliai",Lietuvių,0,4
Sodybų tuštėjimo metas (1976),Jonas Avyžius,Klasika,1976,613,0,0,2.00,Vaga,"13,5 x 20 cm, kieti viršeliai",Lietuvių,0,0
Sodybų tuštėjimo metas (1982),Jonas Avyžius,Lietuvių autorių romanai,1982,638,0,0,4.59,Vaga,"14,5 x 22 cm, kieti viršeliai",Lietuvių,0,0
Sodybų tuštėjimo metas (1977),Jonas Avyžius,Lietuvių autorių romanai,1977,670,0,0,2.79,Vaga,"12,5 x 20,5 x 3 cm, kieti viršeliai",Lietuvių,0,0
Sodybų tuštėjimo metas,Jonas Avyžius,Knygos paaugliams,2010,792,0,0,19.59,Lietuvos rašytojų sąjungos leidykla,"14 x 21 cm, kieti viršeliai",Lietuvių,2,5
Sofi pasirinkimas (2007),William Styron,Užsienio autorių romanai,2007,600,0,0,17.99,Alma littera,"15 x 22 cm, kieti viršeliai",Lietuvių,0,0
Sofi pasirinkimas (2002),William Styron,Užsienio autorių romanai,2002,600,0,0,11.99,Alma littera,"14,5 x 24 x 4 cm, kieti viršeliai",Lietuvių,0,0
Sofi pasirinkimas,William Styron,Užsienio autorių romanai,2013,592,0,0,15.29,Alma littera,"15 x 22 cm, kieti viršeliai",Lietuvių,5,4
Sofija,Jacqueline Baird,Meilės romanai,2006,190,0,0,2.00,Svajonių knygos,"10,5 x 16,7 cm, minkšti viršeliai",Lietuvių,0,4
Sofija Čiurlionienė-Kymantaitė. Raštai I,Sofija Čiurlionienė-Kymantaitė,"Poezija, drama, esė",1986,435,0,0,2.19,Vaga,"13 x 20,5 cm, kieti viršeliai",Lietuvių,0,0
Sofija Čiurlionienė-Kymantaitė. Raštai II,Sofija Čiurlionienė-Kymantaitė,"Poezija, drama, esė",1987,635,0,0,4.59,Vaga,"13 x 20,5 cm, kieti viršeliai",Lietuvių,0,0
Sofija ir karštasis sicilietis. Balforų šeimos paveldėtojos. 4 knyga,Kim Lawrence,Meilės romanai,2015,320,0,0,3.39,Svajonių knygos,"10,8 x 18,1 cm, minkšti viršeliai",Lietuvių,2,4
Sofijos pasaulis,Jostein Gaarder,Knygos paaugliams,2018,464,13.59,10.19,13.59,Tyto alba,"14,7 x 22,1 x 4,3 cm, kieti viršeliai",Lietuvių,13,5
Sofijos pasaulis,Jostein Gaarder,Užsienio autorių romanai,1998,416,0,0,3.99,Tyto alba,"15,2 x 22 cm, minkšti viršeliai",Lietuvių,1,5
Sofijos pasaulis,Jostein Gaarder,Užsienio autorių romanai,1997,416,0,0,8.19,Tyto alba,"15,2 x 22 cm, kieti viršeliai",Lietuvių,0,0
Sofijos pasaulis (2009),Jostein Gaarder,"Humanitariniai, socialiniai mokslai",2009,264,0,0,6.99,Tyto alba,"17 x 24 cm, kieti viršeliai",Lietuvių,5,5
Sofogramos,Aleksandras Bosas,"Poezija, drama, esė",2011,128,0,0,4.59,Aleksandras Bosas,"88 cm, minkšti viršeliai",Lietuvių,0,0
Šok kol gali,Sjuzena Liujis,Meilės romanai,1997,362,0,0,2.00,Rosma,"13 x 20,5 cm, kieti viršeliai",Lietuvių,0,0
Šokančių dievų demonai (PFAF 395),Jack L. Chalker,Fantastika,2007,288,0,0,0,Eridanas,"13 x 20 cm, minkšti viršeliai",Lietuvių,0,4
Šokančių dievų upė PFAF 382,Jack L. Chalker,Fantastika,2006,305,0,0,0,Eridanas,"1,3 cm, minkšti viršeliai",Lietuvių,0,0
Šokančių žuvų trobelė,Chiew - Siah Tei,Užsienio autorių romanai,2009,344,0,0,2.09,Vaga,"17,6 x 24,7 cm, kieti viršeliai",Lietuvių,1,5
Šokanti su žirgais,Jojo Moyes,Užsienio autorių romanai,2015,544,0,0,12.99,Jotema,"15 x 22 x 4,5 cm, kieti viršeliai",Lietuvių,6,4
Šokantis mistralis: šiuolaikinės prancūzų poezijos antologija,Jojo Moyes,"Poezija, drama, esė",2022,252,12.99,11.69,0,Slinktys,"17 x 24 x 1,5 cm, minkšti viršeliai","Lietuvių, Prancūzų",0,4
Šokėja,Emma Drummond,Meilės romanai,1998,406,0,0,0,Rosma,"13 x 20 cm, kieti viršeliai",Lietuvių,0,0
Šokiai Vilniaus gatvėje,Dovilė Zelčiūtė,"Poezija, drama, esė",2020,108,0,0,0,Kauko laiptai,"18,5 x 15,5 x 1,5 cm, kieti viršeliai",Lietuvių,0,3
Šokiruok. 5-asis AVENIU. 2 knyga,Caitlin Crews (Keitlin Kruz),Meilės romanai,2016,384,0,0,3.99,Svajonių knygos,"11,5 x 18,5 x 2,3 cm, minkšti viršeliai",Lietuvių,0,4
Šokis įsuka šviesą,Ramūnas Liutkevičius,"Poezija, drama, esė",2021,102,10.54,9.49,10.54,Bazilisko ambasada,"14,5 x 24,5 x 1,5 cm, kieti viršeliai",Lietuvių,0,4
Šokis su angelu,Ake Edwardson,"Detektyvai, trileriai",2000,430,0,0,2.19,Alma littera,"14 x 22 x 2,8 cm, kieti viršeliai",Lietuvių,1,5
Šokis,Tomas Šinkariukas,Lietuvių autorių romanai,2008,325,0,0,5.99,Kitos knygos,"14 x 20 cm, minkšti viršeliai",Lietuvių,0,4
Šokių salė magnolijų gatvėje,Sharon Owens,Užsienio autorių romanai,2007,389,0,0,4.47,Alma littera,"15,5 x 23,5 x 3,3 cm, minkšti viršeliai",Lietuvių,1,5
Šokių vakaras,Diana Švem,Meilės romanai,1998,220,0,0,3.39,Rosma,"12,5 x 20 cm, minkšti viršeliai",Lietuvių,0,0
Šoklys,Steven Gould,Fantastika,2008,248,0,0,3.99,Obuolys,"15 x 20 cm, minkšti viršeliai",Lietuvių,5,4
Šokoladas (2018),Joanne Harris,Užsienio autorių romanai,2018,320,0,0,5.79,Sofoklis,"14,5 x 21,5 x 2,5 cm, kieti viršeliai",Lietuvių,6,4
Šokoladas,Joanne Harris,Užsienio autorių romanai,2021,320,13.25,7.29,13.25,Sofoklis,"14 x 21 x 2,5 cm, kieti viršeliai",Lietuvių,14,4
Šokoladas (minkšti viršeliai),Joanne Harris,Užsienio autorių romanai,2009,352,0,0,2.43,Versus Aureus,"10,5 x 17 x 2,7 cm, minkšti viršeliai",Lietuvių,0,4
Šokoladas,Joanne Harris,Užsienio autorių romanai,2004,304,0,0,5.67,Versus Aureus,"14,5 x 21,5 cm, kieti viršeliai",Lietuvių,3,5
Šokoladinės vilionės,Maureen Child (Mauryn Čaild),Meilės romanai,2020,196,1.79,1.79,1.79,Svajonių knygos,"10,6 x 16,7 x 2,4 cm, minkšti viršeliai",Lietuvių,0,4
Šokoladiniai ledai,Danė Griganė,Lietuvių autorių romanai,2024,176,12.89,11.60,0,Gelmės,"10,6 x 16,7 x 2,4 cm, minkšti viršeliai",Lietuvių,0,0
Šokoladininkė,Jan Moran,Užsienio autorių romanai,2021,384,13.59,8.21,13.59,Sofoklis,"14 x 21,5 x 2,8 cm, kieti viršeliai",Lietuvių,8,4
Šokoladinis pabėgimas,Dorothy Koomson,Meilės romanai,2012,408,0,0,3.39,Alma littera,"15 x 24 cm, kieti viršeliai",Lietuvių,2,5
Solemija,Martynas Domeika,Fantastika,2015,288,0,0,3.99,Novelita,"14,5 x 21 cm, minkšti viršeliai",Lietuvių,7,2
Soliaris (2021),Stanisław Lem,Užsienio autorių romanai,2021,280,0,0,24.99,Kitos knygos,"13,5 x 20 cm, kieti viršeliai",Lietuvių,8,5
Soliaris (1978),Stanisław Lem,Fantastika,1978,183,0,0,4.59,Kitos knygos,"13,5 x 20 cm, kieti viršeliai",Lietuvių,2,5
Soliaris (2017),Stanisław Lem,Fantastika,2017,232,0,0,11.59,Kitos knygos,"14 x 20,5 x 2,5 cm, kieti viršeliai",Lietuvių,6,5
Solistas,Steve Lopez,Užsienio autorių romanai,2009,368,0,0,2.09,Gimtasis žodis,"11 x 17 cm, minkšti viršeliai",Lietuvių,2,5
Somersetas,Leila Meacham,Meilės romanai,2021,608,19.69,12.80,19.69,Svajonių knygos,"14,5 x 21 x 4,1 cm, kieti viršeliai",Lietuvių,5,5
Sonatos,Sonata Paliulytė,"Poezija, drama, esė",2013,104,0,0,0,Lietuvos rašytojų sąjungos leidykla,"14,5 x 23 cm, kieti viršeliai",Lietuvių,0,3
Sonečka,Liudmila Ulickaja,Užsienio autorių romanai,2005,115,0,0,4.58,Kitos knygos,"13 x 16,5 cm, minkšti viršeliai",Lietuvių,4,4
Sonetai,Šekspyras,"Poezija, drama, esė",2003,168,5.99,5.39,5.99,Ramduva,"11 x 16,5 cm, kieti viršeliai",Lietuvių,4,4
Sonetai Orfėjui,Raineris Marija Rilkė,Klasika,2014,156,0,0,0,Santara,"16,5 x 25 cm, kieti viršeliai","Lietuvių, Vokiečių",1,5
"SONETAI: visi 154 nemirtingi garsiausio pasaulyje  dramaturgo ir poeto Williamo Shakespeare'o sonetai, kaskart iš naujo užburiantys viso pasaulio romantikų ir poezijos gerbėjų širdis, priverčiantys patikėti meilės galia",William Shakespeare,"Poezija, drama, esė",2019,208,5.39,4.85,5.39,Obuolys,"10,5 x 16,5 x 1,5 cm, minkšti viršeliai",Lietuvių,8,4
Sonetariumas,Tadas Žvirinskis,"Poezija, drama, esė",2022,84,8.09,7.28,0,Slinktys,"14 x 21 x 1 cm, minkšti viršeliai",Lietuvių,0,3
Sonia Auksinė Rankelė,Viktor Merežko,Užsienio autorių romanai,2012,472,0,0,5.19,Gimtasis žodis,"15 x 24 cm, kieti viršeliai",Lietuvių,5,4
SOS 123 oro eskadrilė,Justas Pilyponis,Lietuvių autorių romanai,1990,100,0,0,2.19,Varpas,"13,5 x 23,5 cm, minkšti viršeliai",Lietuvių,0,3
SOS. Garbės reikalas,Zurabas Džavachišvilis,"Detektyvai, trileriai",2007,240,0,0,10.59,Alma littera,"14,2 x 23,5 cm, minkšti viršeliai",Lietuvių,0,4
SOS. Medžioklės sezonas. Specialiųjų operacijų skyriaus kronika,Zurabas Džavachišvilis,"Detektyvai, trileriai",2008,240,0,0,5.79,Alma littera,"14,7 x 23,5 cm, minkšti viršeliai",Lietuvių,0,4
SOS: Pasala šešėliui,Zurabas Džavachišvilis,"Detektyvai, trileriai",2009,272,0,0,4.59,Alma littera,"14 x 23,5 cm, minkšti viršeliai",Lietuvių,0,0
"SOSTINĖ:  monumentalus romanas, pilnas absurdo ir ironijos, groteskiška ir nepaprastai paveiki šiuolaikinės Europos mozaika",Robert Menasse,Užsienio autorių romanai,2019,432,0,0,2.50,Tyto alba,"15 x 22 x 4 cm, kieti viršeliai",Lietuvių,4,5
Sosto papėdėje,Rimantas Marčėnas,Lietuvių autorių romanai,2010,303,0,0,5.79,Alma littera,"15 x 24 cm, kieti viršeliai",Lietuvių,1,4
SOSTŲ KARAI: Šokis su drakonais 1. Sapnai ir dulkės. Ledo ir ugnies giesmė. 5 knyga,George R. R. Martin,Fantastika,2015,600,0,0,33.99,Alma littera,"15 x 24 cm, kieti viršeliai",Lietuvių,8,4
SOSTŲ KARAI: Šokis su drakonais. 2. Po puotos. Ledo ir ugnies giesmė. 6 knyga,George R. R. Martin,Užsienio autorių romanai,2015,520,0,0,0,Alma littera,"15 x 24 cm, kieti viršeliai",Lietuvių,12,4
SOSTŲ KARAI: Sostų žaidimas. Ledo ir ugnies giesmė. 1 knyga,George R. R. Martin,Fantastika,2020,640,0,0,17.79,Alma littera,"14,5 x 24 cm, kieti viršeliai",Lietuvių,27,4
Sovietų išminčių protokolai,Grigorij Klimov,Užsienio autorių romanai,2000,648,0,0,0,Litimo,"13 x 20 x 3,2 cm, minkšti viršeliai",Lietuvių,1,5
Spalio tylėjimas,Jens Christian Grøndahl,Užsienio autorių romanai,2002,237,0,0,3.00,Alma littera,"15 x 24,5 cm, kieti viršeliai",Lietuvių,0,4
Spalio tylėjimas,Jens Christian Grøndahl,Užsienio autorių romanai,2013,240,0,0,3.00,Alma littera,"15 x 24,2 cm, kieti viršeliai",Lietuvių,5,4
Spalva ir žodis,Dalia Kerpauskienė,"Poezija, drama, esė",2012,128,0,0,0,Naujasis lankas,"21 x 29,5 x 1,2 cm, kieti viršeliai","Lietuvių, Anglų",1,5
Spalvingas vualis,William SOmerset Maugham,Užsienio autorių romanai,1994,189,0,0,2.19,Spauda,"12,5 x 20 x 0,8 cm, minkšti viršeliai","Lietuvių, Anglų",0,4
Spalvinimo knygelė draugams,Tadas Zaronskis,"Poezija, drama, esė",2023,84,0,0,0,Bazilisko ambasada,"14,9 x 21 x 1 cm, minkšti viršeliai",Lietuvių,1,5
Spalvos,Vytautas Vincas Dambauskas,"Poezija, drama, esė",2008,126,0,0,0,Bazilisko ambasada,"11,5 x 22 cm, minkšti viršeliai",Lietuvių,0,0
Spalvotas sniegas,Andrėja,Meilės romanai,2009,192,0,0,2.19,UAB Svajonių knygos,"10,6 x 16,7 cm, minkšti viršeliai",Lietuvių,1,4
Spartakas,Rafaelis Džovanjolis,Užsienio autorių romanai,1983,535,0,0,2.00,Vaga,"13 x 20,5 cm, kieti viršeliai",Lietuvių,2,5
Spartakas I - II dalys,Rafaelis Džovanjolis,Užsienio autorių romanai,1987,535,0,0,2.19,Vyturys,"13 x 20 cm, minkšti viršeliai",Lietuvių,0,0
Spartakas I knyga,Rafaelis Džovanjolis,Užsienio autorių romanai,1987,247,0,0,2.00,Vyturys,"13 x 20 cm, minkšti viršeliai",Lietuvių,0,0
Spartakas II knyga,Rafaelis Džovanjolis,Užsienio autorių romanai,1987,312,0,0,2.00,Vyturys,"13 x 20 cm, minkšti viršeliai",Lietuvių,0,0
Spartakas,Raffaello Giovagnoli,Užsienio autorių romanai,2006,600,0,0,2.40,Alma littera,"14,5 x 24 cm, kieti viršeliai",Lietuvių,0,0
Spąstai,Emilis Zola,Klasika,1995,367,0,0,8.69,Mintis,"13 x 20 cm, kieti viršeliai",Lietuvių,1,5
Spąstai. Sarah Morgan,Sarah Morgan,Meilės romanai,2007,192,0,0,10.99,UAB Svajonių knygos,"10,5 x 16,5 cm, minkšti viršeliai",Lietuvių,0,4
