Pavadinimas,Autorius,Žanras,Metai,Puslapiai,Kaina,Akcijinė kaina,Perskaitytos kaina,Leidėjas,Formatas,Kalba,Įvertinimų skaičius,Žvaigždučių skaičius
"365 PRIEŽASTYS MYLĖTI: ilgai laukta antroji Mantvydo Leknicko poezijos knyga, skirta tikintiems meile. Unikalus projektas, papildytas skaitytojų fotografijomis - aukštos kokybės knyga kietais viršeliais",Mantvydas Leknickas,"Poezija, drama, esė",2016,420,0,0,2.50,Mantvydas Leknickas,"14,8 x 21 x 2,5 cm, kieti viršeliai",Lietuvių,42,4
39 salto mortale,Aistė Kisarauskaitė,"Poezija, drama, esė",2013,192,7.65,6.89,0,Apostrofa,"13 x 20 x 1,8 cm, minkšti viršeliai",Lietuvių,0,4
4 % šlovės,Deborah Schoeneman,Užsienio autorių romanai,2006,328,0,0,2.50,Alma littera,"14,8 x 24,2 x 2,7 cm, kieti viršeliai",Lietuvių,0,3
"KARAS IR TAIKA: geriausia pasaulyje knyga - pirmą kartą lietuviškai Levo Tolstojaus amžino bestselerio visi 4 tomai vienoje knygoje kietais viršeliais, 1200 puslapių riboto tiražo kolekcinis leidimas, išspausdintas specialiu KNYGOS.lt užsakymu",Lev Tolstoj,Knygos paaugliams,2016,1200,0,0,0,Obuolys,"17,5 x 24 x 5 cm, kieti viršeliai",Lietuvių,22,4
40 paltų ir viena saga,Ivan Sciapeconi,Užsienio autorių romanai,2022,208,14.79,8.87,14.79,Baltos lankos,"14,5 x 21 x 1,9 cm, kieti viršeliai",Lietuvių,2,4
4.50 iš Padingtono,Agata Kristi,"Detektyvai, trileriai",1994,208,0,0,3.98,Europa,"13 x 20 cm, minkšti viršeliai",Lietuvių,0,4
451° Farenheito (2006),Ray Bradbury,Fantastika,2006,184,0,0,0,Jotema,"14,5 x 22 x 1,8 cm, kieti viršeliai",Lietuvių,1,5
451° Farenheito,Ray Bradbury,Fantastika,2017,184,0,0,24.99,Jotema,"14,5 x 20,5 x 1,8 cm, minkšti viršeliai",Lietuvių,15,4
48 valandos,Andreas Gruber,Užsienio autorių romanai,2022,432,8.69,8.69,8.69,Jotema,"15 x 22 x 3,5 cm, kieti viršeliai",Lietuvių,11,4
5-FU,Andreas Gruber,Užsienio autorių romanai,2006,94,0,0,3.39,Gimtasis žodis,"11 x 17 cm, minkšti viršeliai",Lietuvių,1,5
50/50 žudikas: ar mirtum dėl meilės?,Steve Mosby,"Detektyvai, trileriai",2016,384,0,0,6.99,Sofoklis,"14 x 21 x 2,8 cm, kieti viršeliai",Lietuvių,8,4
"XXI a. KAMASUTRA! 50 NAKTIES ATSPALVIŲ: patirk viską, apie ką rašo romanuose... Ir dar daugiau! iliustruota aistros odisėja kaip išlaisvinti vidinę dievaitę",Laura Elias,Meilės romanai,2016,112,0,0,15.99,Obuolys,"13,3 x 20,3 cm, minkšti viršeliai",Lietuvių,3,5
"55. Dvi vienodos istorijos. Du įtariamieji. Vienas žudikas. Įtraukiantis trileris, kurio pabaiga privers aiktelėti!",James Delargy,"Detektyvai, trileriai",2023,360,19.89,14.00,19.89,BALTO leidybos namai,"14,3 x 21,3 x 2,8 cm, kieti viršeliai",Lietuvių,2,5
5.56 x 100 šovusių į galvą arba auliniais batais pramintų minčių,Valerijus Šerelis,"Poezija, drama, esė",2015,120,0,0,0,Vaga,"11 x 17 cm, kieti viršeliai",Lietuvių,0,4
58 sapnai ir kitos vienaveiksmės pjesės,Julius Keleras,"Poezija, drama, esė",2009,141,0,0,0,Lietuvos rašytojų sąjungos leidykla,"14 x 21 cm, minkšti viršeliai",Lietuvių,0,3
6 japonų poetai,Julius Keleras,"Poezija, drama, esė",2022,190,0,0,24.99,Apostrofa,"15 x 21 x 1,6 cm, minkšti viršeliai",Lietuvių,0,3
60 kilogramų saulės šviesos,Hallgrimur Helgason,Užsienio autorių romanai,2021,448,17.49,4.95,17.49,Alma littera,"14,3 x 21,3 x 3,2 cm, kieti viršeliai",Lietuvių,10,5
